"","logFC","logCPM","F","PValue","FDR","geneName","fullGeneName"
"ENSG00000120738",4.84193740248405,8.6517676894874,9989.65778015533,3.30393297292892e-25,4.30799820340202e-21,"EGR1","early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]"
"ENSG00000170345",4.40762820696232,8.16015898669366,7190.787830928,5.53915803364343e-24,3.61125408003383e-20,"FOS","Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]"
"ENSG00000123358",5.8647108195237,9.00566309506531,6542.84989269511,1.24445712075404e-23,5.40882546583731e-20,"NR4A1","nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980]"
"ENSG00000177606",3.06917655828563,8.20064274340558,3188.94582743072,5.84943640555508e-21,1.90677003230082e-17,"JUN","Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]"
"ENSG00000179388",2.52248435819212,8.0075158982307,3090.91485716016,7.63883094403768e-21,1.99205433358615e-17,"EGR3","early growth response 3 [Source:HGNC Symbol;Acc:HGNC:3240]"
"ENSG00000125740",6.78351362981218,6.71703424882895,2490.39463429174,4.83554746090902e-20,1.05084505571321e-16,"FOSB","FosB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3797]"
"ENSG00000160888",2.13039114203996,7.06896915442475,2091.30571452295,2.14567348971471e-19,3.8922316868265e-16,"IER2","immediate early response 2 [Source:HGNC Symbol;Acc:HGNC:28871]"
"ENSG00000153234",2.73431449797195,6.95008855899265,2065.21674496189,2.38805533358478e-19,3.8922316868265e-16,"NR4A2","nuclear receptor subfamily 4 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7981]"
"ENSG00000122877",6.74947480722062,3.88172911799501,1533.8278531048,3.00602486547381e-18,4.35506202454589e-15,"EGR2","early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]"
"ENSG00000062716",1.37154279742552,9.8540377137935,1420.08482886063,5.78598575910633e-18,7.54434683129875e-15,"VMP1","vacuole membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:29559]"
